"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 13, 2020","1,128.91","1,008.06","1,164.16","969.08","17.37B","1.26%"
"Mar 12, 2020","1,114.91","1,184.16","1,187.39","1,095.37","17.07B","-10.80%"
"Mar 11, 2020","1,249.89","1,268.56","1,281.63","1,238.00","16.73B","-1.68%"
"Mar 10, 2020","1,271.25","1,262.80","1,285.65","1,258.70","15.39B","1.22%"
"Mar 09, 2020","1,255.94","1,272.95","1,299.77","1,249.31","20.00B","-7.96%"
"Mar 06, 2020","1,364.57","1,373.19","1,374.20","1,359.75","17.49B","-1.89%"
"Mar 05, 2020","1,390.83","1,391.35","1,408.35","1,390.83","19.92B","0.89%"
"Mar 04, 2020","1,378.61","1,361.44","1,380.82","1,358.24","18.62B","0.26%"
"Mar 03, 2020","1,375.02","1,357.72","1,380.39","1,352.22","18.41B","2.94%"
"Mar 02, 2020","1,335.72","1,355.99","1,358.52","1,317.45","21.01B","-0.36%"
"Feb 28, 2020","1,340.52","1,348.46","1,357.15","1,337.00","19.18B","-3.91%"
"Feb 27, 2020","1,395.08","1,369.83","1,397.69","1,355.63","21.21B","2.10%"
"Feb 26, 2020","1,366.41","1,425.56","1,428.35","1,366.41","25.42B","-5.05%"
"Feb 25, 2020","1,439.10","1,436.24","1,446.63","1,416.40","23.47B","0.25%"
"Feb 24, 2020","1,435.56","1,473.57","1,474.12","1,435.56","19.30B","-3.98%"
"Feb 21, 2020","1,495.09","1,480.53","1,495.17","1,476.89","16.70B","0.26%"
"Feb 20, 2020","1,491.24","1,504.48","1,504.95","1,484.51","17.80B","-0.95%"
"Feb 19, 2020","1,505.54","1,517.78","1,523.61","1,501.74","17.88B","-0.54%"
"Feb 18, 2020","1,513.68","1,521.00","1,522.33","1,510.52","14.87B","-0.89%"
"Feb 17, 2020","1,527.25","1,528.48","1,532.87","1,523.74","16.81B","0.06%"
"Feb 14, 2020","1,526.30","1,537.16","1,540.46","1,524.15","18.10B","-0.42%"
"Feb 13, 2020","1,532.77","1,539.31","1,542.19","1,530.44","16.44B","-0.46%"
"Feb 12, 2020","1,539.84","1,530.59","1,542.76","1,529.15","16.55B","1.04%"
"Feb 11, 2020","1,523.93","1,538.31","1,539.43","1,522.97","16.47B","-0.74%"
"Feb 07, 2020","1,535.24","1,536.28","1,539.36","1,527.34","18.66B","-0.04%"
"Feb 06, 2020","1,535.79","1,538.29","1,541.81","1,530.51","21.03B","0.11%"
"Feb 05, 2020","1,534.14","1,521.67","1,534.93","1,516.55","21.54B","0.97%"
"Feb 04, 2020","1,519.38","1,501.34","1,520.10","1,499.21","17.78B","1.56%"
"Feb 03, 2020","1,496.06","1,507.28","1,513.43","1,495.94","16.15B","-1.19%"
"Jan 31, 2020","1,514.14","1,528.86","1,532.09","1,514.14","15.29B","-0.65%"
"Jan 30, 2020","1,523.99","1,516.36","1,525.17","1,515.68","16.43B","-0.04%"
"Jan 29, 2020","1,524.59","1,522.88","1,528.14","1,511.15","19.49B","0.75%"
"Jan 28, 2020","1,513.26","1,519.55","1,535.23","1,507.36","19.84B","-0.71%"
"Jan 27, 2020","1,524.15","1,546.90","1,548.11","1,519.03","20.08B","-2.89%"
"Jan 24, 2020","1,569.55","1,575.07","1,576.68","1,567.07","15.38B","-0.26%"
